"","V1","Date","Cases_0_10","Cases_11_17","Cases_18_24","Cases_25_34","Cases_35_44","Cases_45_54","Cases_55_64","Cases_65","Cases_Unknown","Deaths_0_10","Deaths_11_17","Deaths_18_24","Deaths_25_34","Deaths_35_44","Deaths_45_54","Deaths_55_64","Deaths_65","Deaths_Unknown","Cases_0_17","Cases_25_44","Cases_45_64","Deaths_0_17","Deaths_25_44","Deaths_45_64","New_Cases_0_10","New_Cases_11_17","New_Cases_18_24","New_Cases_25_34","New_Cases_35_44","New_Cases_45_54","New_Cases_55_64","New_Cases_65","New_Deaths_0_10","New_Deaths_11_17","New_Deaths_18_24","New_Deaths_25_34","New_Deaths_35_44","New_Deaths_45_54","New_Deaths_55_64","New_Deaths_65","New_Cases_0_17","New_Cases_25_44","New_Cases_45_64","New_Deaths_0_17","New_Deaths_25_44","New_Deaths_45_64"
"1:88","1:87","2021-07-02",21532,29956,45094,56642,53778,49615,43079,50883,0,0,0,10,37,113,273,717,4763,0,NA,NA,NA,NA,NA,NA,-250,81,87,171,139,100,84,82,0,0,0,0,1,0,1,2,NA,NA,NA,NA,NA,NA
"1:89","1:88","2021-07-01",21782,29875,45007,56471,53639,49515,42995,50801,0,0,0,10,37,112,273,716,4761,0,NA,NA,NA,NA,NA,NA,344,24,60,73,85,45,30,39,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"1:90","1:89","2021-06-30",21438,29851,44947,56398,53554,49470,42965,50762,0,0,0,10,37,112,273,716,4761,0,NA,NA,NA,NA,NA,NA,47,65,86,136,108,90,75,79,0,0,0,0,0,1,1,2,NA,NA,NA,NA,NA,NA
"1:91","1:90","2021-06-29",21391,29786,44861,56262,53446,49380,42890,50683,0,0,0,10,37,112,272,715,4759,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:92","1:91","2021-06-25",21275,29656,44682,56014,53171,49179,42749,50528,0,0,0,10,37,110,270,713,4753,0,NA,NA,NA,NA,NA,NA,27,32,37,64,45,30,28,39,0,0,0,0,1,0,0,2,NA,NA,NA,NA,NA,NA
"1:93","1:92","2021-06-24",21248,29624,44645,55950,53126,49149,42721,50489,0,0,0,10,37,109,270,713,4751,0,NA,NA,NA,NA,NA,NA,24,31,43,73,65,59,40,48,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA
"1:94","1:93","2021-06-23",21224,29593,44602,55877,53061,49090,42681,50441,0,0,0,10,37,109,270,713,4748,0,NA,NA,NA,NA,NA,NA,39,37,42,72,69,48,42,40,0,0,0,0,1,0,2,0,NA,NA,NA,NA,NA,NA
"1:95","1:94","2021-06-22",21185,29556,44560,55805,52992,49042,42639,50401,0,0,0,10,37,108,270,711,4748,0,NA,NA,NA,NA,NA,NA,29,38,60,86,79,67,68,58,0,0,0,0,0,0,3,5,NA,NA,NA,NA,NA,NA
"1:96","1:95","2021-06-21",21156,29518,44500,55719,52913,48975,42571,50343,0,0,0,10,37,108,270,708,4743,0,NA,NA,NA,NA,NA,NA,9,8,11,8,17,13,12,12,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA
"1:97","1:96","2021-06-20",21147,29510,44489,55711,52896,48962,42559,50331,0,0,0,10,37,108,270,706,4743,0,NA,NA,NA,NA,NA,NA,6,16,17,28,27,10,12,17,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"1:98","1:97","2021-06-19",21141,29494,44472,55683,52869,48952,42547,50314,0,0,0,10,37,108,270,706,4743,0,NA,NA,NA,NA,NA,NA,13,20,30,46,40,29,37,36,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"1:99","1:98","2021-06-18",21128,29474,44442,55637,52829,48923,42510,50278,0,0,0,10,37,108,270,706,4743,0,NA,NA,NA,NA,NA,NA,33,24,29,44,53,40,28,25,0,0,0,0,1,0,1,3,NA,NA,NA,NA,NA,NA
"1:100","1:99","2021-06-17",21095,29450,44413,55593,52776,48883,42482,50253,0,0,0,10,37,107,270,705,4740,0,NA,NA,NA,NA,NA,NA,28,32,41,46,47,32,35,27,0,0,0,-1,1,0,0,2,NA,NA,NA,NA,NA,NA
"1:101","1:100","2021-06-16",21067,29418,44372,55547,52729,48851,42447,50226,0,0,0,10,38,106,270,705,4738,0,NA,NA,NA,NA,NA,NA,20,46,24,45,52,39,38,24,0,0,0,0,0,0,0,-2,NA,NA,NA,NA,NA,NA
"1:102","1:101","2021-06-15",21047,29372,44348,55502,52677,48812,42409,50202,0,0,0,10,38,106,270,705,4740,0,NA,NA,NA,NA,NA,NA,19,26,39,50,50,39,41,38,0,0,0,0,0,1,1,4,NA,NA,NA,NA,NA,NA
"1:103","1:102","2021-06-14",21028,29346,44309,55452,52627,48773,42368,50164,0,0,0,10,38,106,269,704,4736,0,NA,NA,NA,NA,NA,NA,6,10,16,24,6,17,11,13,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA
"1:104","1:103","2021-06-13",21022,29336,44293,55428,52621,48756,42357,50151,0,0,0,10,38,106,269,703,4735,0,NA,NA,NA,NA,NA,NA,-21,7,13,21,20,25,12,14,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA
"1:105","1:104","2021-06-12",21043,29329,44280,55407,52601,48731,42345,50137,0,0,0,10,37,106,269,703,4735,0,NA,NA,NA,NA,NA,NA,23,30,34,46,49,34,28,20,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
"1:106","1:105","2021-06-11",21020,29299,44246,55361,52552,48697,42317,50117,0,0,0,10,37,106,269,703,4734,0,NA,NA,NA,NA,NA,NA,19,28,60,87,68,58,40,33,0,0,0,0,0,1,0,2,NA,NA,NA,NA,NA,NA
"1:107","1:106","2021-06-10",21001,29271,44186,55274,52484,48639,42277,50084,0,0,0,10,37,106,268,703,4732,0,NA,NA,NA,NA,NA,NA,18,14,40,57,56,36,38,30,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA
"1:108","1:107","2021-06-09",20983,29257,44146,55217,52428,48603,42239,50054,0,0,0,10,37,106,268,703,4730,0,NA,NA,NA,NA,NA,NA,17,14,26,38,37,25,23,21,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA
"1:109","1:108","2021-06-08",20966,29243,44120,55179,52391,48578,42216,50033,0,0,0,10,37,106,268,702,4729,0,NA,NA,NA,NA,NA,NA,20,23,27,39,40,32,21,29,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA
"1:110","1:109","2021-06-07",20946,29220,44093,55140,52351,48546,42195,50004,0,0,0,10,37,106,268,702,4726,0,NA,NA,NA,NA,NA,NA,16,11,23,23,27,14,14,22,0,0,0,0,1,0,0,2,NA,NA,NA,NA,NA,NA
"1:111","1:110","2021-06-06",20930,29209,44070,55117,52324,48532,42181,49982,0,0,0,10,37,105,268,702,4724,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"1:112","1:111","2021-06-05",20930,29209,44070,55117,52324,48532,42181,49982,0,0,0,10,37,105,268,702,4724,0,NA,NA,NA,NA,NA,NA,11,22,21,34,27,37,32,19,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
"1:113","1:112","2021-06-04",20919,29187,44049,55083,52297,48495,42149,49963,0,0,0,10,37,105,268,702,4723,0,NA,NA,NA,NA,NA,NA,8,30,48,40,41,32,30,24,0,0,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA
"1:114","1:113","2021-06-03",20911,29157,44001,55043,52256,48463,42119,49939,0,0,0,10,36,105,267,702,4722,0,NA,NA,NA,NA,NA,NA,16,18,26,36,33,31,23,14,0,0,0,0,0,0,1,6,NA,NA,NA,NA,NA,NA
"1:115","1:114","2021-06-02",20895,29139,43975,55007,52223,48432,42096,49925,0,0,0,10,36,105,267,701,4716,0,NA,NA,NA,NA,NA,NA,20,15,31,42,51,25,34,24,0,0,0,0,0,1,-1,1,NA,NA,NA,NA,NA,NA
"1:116","1:115","2021-06-01",20875,29124,43944,54965,52172,48407,42062,49901,0,0,0,10,36,105,266,702,4715,0,NA,NA,NA,NA,NA,NA,3,4,9,13,21,9,3,7,0,0,0,0,0,0,-1,2,NA,NA,NA,NA,NA,NA
"1:117","1:116","2021-05-31",20872,29120,43935,54952,52151,48398,42059,49894,0,0,0,10,36,105,266,703,4713,0,NA,NA,NA,NA,NA,NA,1,0,2,5,5,5,6,6,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA
"1:118","1:117","2021-05-30",20871,29120,43933,54947,52146,48393,42053,49888,0,0,0,10,36,104,266,703,4713,0,NA,NA,NA,NA,NA,NA,7,3,7,8,13,8,10,5,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA
"1:119","1:118","2021-05-29",20864,29117,43926,54939,52133,48385,42043,49883,0,0,0,10,36,104,266,703,4711,0,NA,NA,NA,NA,NA,NA,14,20,19,28,23,27,18,11,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"1:120","1:119","2021-05-28",20850,29097,43907,54911,52110,48358,42025,49872,0,0,0,10,36,104,266,703,4711,0,NA,NA,NA,NA,NA,NA,17,24,30,40,32,29,14,28,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"1:121","1:120","2021-05-27",20833,29073,43877,54871,52078,48329,42011,49844,0,0,0,10,36,104,266,702,4711,0,NA,NA,NA,NA,NA,NA,20,17,28,40,44,32,20,17,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA
"1:122","1:121","2021-05-26",20813,29056,43849,54831,52034,48297,41991,49827,0,0,0,10,36,104,266,702,4709,0,NA,NA,NA,NA,NA,NA,21,22,21,40,30,20,16,13,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA
"1:123","1:122","2021-05-25",20792,29034,43828,54791,52004,48277,41975,49814,0,0,0,10,36,104,266,702,4706,0,NA,NA,NA,NA,NA,NA,55,24,40,51,52,38,38,31,0,0,0,0,1,0,1,2,NA,NA,NA,NA,NA,NA
"1:124","1:123","2021-05-24",20737,29010,43788,54740,51952,48239,41937,49783,0,0,0,10,36,103,266,701,4704,0,NA,NA,NA,NA,NA,NA,6,5,6,11,11,2,4,4,0,0,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA
"1:125","1:124","2021-05-23",20731,29005,43782,54729,51941,48237,41933,49779,0,0,0,9,36,103,265,701,4703,0,NA,NA,NA,NA,NA,NA,6,10,14,18,14,15,10,10,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
"1:126","1:125","2021-05-22",20725,28995,43768,54711,51927,48222,41923,49769,0,0,0,9,36,103,265,701,4702,0,NA,NA,NA,NA,NA,NA,15,23,25,28,31,22,20,13,0,0,1,0,0,1,0,3,NA,NA,NA,NA,NA,NA
"1:127","1:126","2021-05-21",20710,28972,43743,54683,51896,48200,41903,49756,0,0,0,8,36,103,264,701,4699,0,NA,NA,NA,NA,NA,NA,11,17,29,31,37,30,28,18,0,0,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA
"1:128","1:127","2021-05-20",20699,28955,43714,54652,51859,48170,41875,49738,0,0,0,8,36,103,263,700,4698,0,NA,NA,NA,NA,NA,NA,24,25,31,37,41,30,39,29,0,0,0,0,0,0,2,1,NA,NA,NA,NA,NA,NA
"1:129","1:128","2021-05-19",20675,28930,43683,54615,51818,48140,41836,49709,0,0,0,8,36,103,263,698,4697,0,NA,NA,NA,NA,NA,NA,25,37,25,40,39,27,20,31,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"1:130","1:129","2021-05-18",20650,28893,43658,54575,51779,48113,41816,49678,0,0,0,8,36,103,263,698,4697,0,NA,NA,NA,NA,NA,NA,24,30,33,61,54,41,34,36,0,0,0,1,1,1,1,5,NA,NA,NA,NA,NA,NA
"1:131","1:130","2021-05-17",20626,28863,43625,54514,51725,48072,41782,49642,0,0,0,8,35,102,262,697,4692,0,NA,NA,NA,NA,NA,NA,5,3,10,20,8,11,2,8,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA
"1:132","1:131","2021-05-16",20621,28860,43615,54494,51717,48061,41780,49634,0,0,0,8,35,102,262,697,4690,0,NA,NA,NA,NA,NA,NA,7,7,25,11,10,14,6,15,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
"1:133","1:132","2021-05-15",20614,28853,43590,54483,51707,48047,41774,49619,0,0,0,8,35,102,262,697,4689,0,NA,NA,NA,NA,NA,NA,12,20,30,29,42,31,13,25,0,0,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA
"1:134","1:133","2021-05-14",20602,28833,43560,54454,51665,48016,41761,49594,0,0,0,8,35,102,261,696,4688,0,NA,NA,NA,NA,NA,NA,23,37,34,39,40,34,21,22,0,0,0,0,0,0,1,6,NA,NA,NA,NA,NA,NA
"1:135","1:134","2021-05-13",20579,28796,43526,54415,51625,47982,41740,49572,0,0,0,8,35,102,261,695,4682,0,NA,NA,NA,NA,NA,NA,20,40,24,32,25,14,15,22,0,0,0,0,0,0,1,5,NA,NA,NA,NA,NA,NA
"1:136","1:135","2021-05-12",20559,28756,43502,54383,51600,47968,41725,49550,0,0,0,8,35,102,261,694,4677,0,NA,NA,NA,NA,NA,NA,17,27,28,39,32,31,27,23,0,0,0,0,0,1,1,5,NA,NA,NA,NA,NA,NA
"1:137","1:136","2021-05-11",20542,28729,43474,54344,51568,47937,41698,49527,0,0,0,8,35,102,260,693,4672,0,NA,NA,NA,NA,NA,NA,20,31,25,36,41,32,29,19,0,0,0,0,0,1,2,3,NA,NA,NA,NA,NA,NA
"1:138","1:137","2021-05-10",20522,28698,43449,54308,51527,47905,41669,49508,0,0,0,8,35,102,259,691,4669,0,NA,NA,NA,NA,NA,NA,3,7,11,14,15,8,8,10,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA
"1:139","1:138","2021-05-09",20519,28691,43438,54294,51512,47897,41661,49498,0,0,0,8,35,102,259,691,4666,0,NA,NA,NA,NA,NA,NA,10,19,5,14,25,7,9,6,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
"1:140","1:139","2021-05-08",20509,28672,43433,54280,51487,47890,41652,49492,0,0,0,8,35,102,258,691,4666,0,NA,NA,NA,NA,NA,NA,23,26,33,48,33,36,19,27,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"1:141","1:140","2021-05-07",20486,28646,43400,54232,51454,47854,41633,49465,0,0,0,8,35,102,258,690,4666,0,NA,NA,NA,NA,NA,NA,20,26,26,30,34,41,24,21,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA
"1:142","1:141","2021-05-06",20466,28620,43374,54202,51420,47813,41609,49444,0,0,0,8,35,102,258,690,4664,0,NA,NA,NA,NA,NA,NA,15,32,16,36,31,14,21,23,0,0,0,0,0,2,0,1,NA,NA,NA,NA,NA,NA
"1:143","1:142","2021-05-05",20451,28588,43358,54166,51389,47799,41588,49421,0,0,0,8,35,102,256,690,4663,0,NA,NA,NA,NA,NA,NA,29,23,43,75,54,34,22,18,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA
"1:144","1:143","2021-05-04",20422,28565,43315,54091,51335,47765,41566,49403,0,0,0,8,35,102,256,690,4661,0,NA,NA,NA,NA,NA,NA,20,41,36,55,51,42,24,27,0,0,0,0,0,0,1,4,NA,NA,NA,NA,NA,NA
"1:145","1:144","2021-05-03",20402,28524,43279,54036,51284,47723,41542,49376,0,0,0,8,35,102,256,689,4657,0,NA,NA,NA,NA,NA,NA,5,6,4,8,7,13,8,10,0,0,0,0,0,0,1,3,NA,NA,NA,NA,NA,NA
"1:146","1:145","2021-05-02",20397,28518,43275,54028,51277,47710,41534,49366,0,0,0,8,35,102,256,688,4654,0,NA,NA,NA,NA,NA,NA,10,18,20,19,23,19,12,16,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA
"1:147","1:146","2021-05-01",20387,28500,43255,54009,51254,47691,41522,49350,0,0,0,8,35,102,256,688,4652,0,NA,NA,NA,NA,NA,NA,12,29,38,46,38,33,23,24,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA
"1:148","1:147","2021-04-30",20375,28471,43217,53963,51216,47658,41499,49326,0,0,0,8,35,102,256,688,4650,0,NA,NA,NA,NA,NA,NA,21,23,31,27,28,19,21,26,0,0,0,0,1,1,0,2,NA,NA,NA,NA,NA,NA
"1:149","1:148","2021-04-29",20354,28448,43186,53936,51188,47639,41478,49300,0,0,0,8,35,101,255,688,4648,0,NA,NA,NA,NA,NA,NA,19,28,42,41,42,31,24,13,0,0,0,0,1,0,3,5,NA,NA,NA,NA,NA,NA
"1:150","1:149","2021-04-28",20335,28420,43144,53895,51146,47608,41454,49287,0,0,0,8,35,100,255,685,4643,0,NA,NA,NA,NA,NA,NA,25,60,43,30,33,47,13,40,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"1:151","1:150","2021-04-27",20310,28360,43101,53865,51113,47561,41441,49247,0,0,0,8,35,100,255,684,4643,0,NA,NA,NA,NA,NA,NA,14,36,33,43,33,32,17,21,0,0,0,0,0,0,0,5,NA,NA,NA,NA,NA,NA
"1:152","1:151","2021-04-26",20296,28324,43068,53822,51080,47529,41424,49226,0,0,0,8,35,100,255,684,4638,0,NA,NA,NA,NA,NA,NA,2,3,4,14,16,5,8,11,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA
"1:153","1:152","2021-04-25",20294,28321,43064,53808,51064,47524,41416,49215,0,0,0,8,35,100,255,684,4636,0,NA,NA,NA,NA,NA,NA,8,2,9,15,6,10,5,9,0,0,0,0,0,0,-1,2,NA,NA,NA,NA,NA,NA
"1:154","1:153","2021-04-24",20286,28319,43055,53793,51058,47514,41411,49206,0,0,0,8,35,100,255,685,4634,0,NA,NA,NA,NA,NA,NA,8,27,31,31,37,18,14,18,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA
"1:155","1:154","2021-04-23",20278,28292,43024,53762,51021,47496,41397,49188,0,0,0,8,34,100,255,685,4634,0,NA,NA,NA,NA,NA,NA,12,31,39,42,33,26,29,24,0,0,0,0,0,0,2,3,NA,NA,NA,NA,NA,NA
"1:156","1:155","2021-04-22",20266,28261,42985,53720,50988,47470,41368,49164,0,0,0,8,34,100,255,683,4631,0,NA,NA,NA,NA,NA,NA,16,14,20,21,33,19,18,20,0,0,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA
"1:157","1:156","2021-04-21",20250,28247,42965,53699,50955,47451,41350,49144,0,0,0,8,34,100,254,682,4630,0,NA,NA,NA,NA,NA,NA,29,44,61,55,46,46,42,29,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA
"1:158","1:157","2021-04-20",20221,28203,42904,53644,50909,47405,41308,49115,0,0,0,8,34,100,254,682,4628,0,NA,NA,NA,NA,NA,NA,19,28,23,34,32,21,20,21,0,0,0,0,0,0,1,6,NA,NA,NA,NA,NA,NA
"1:159","1:158","2021-04-19",20202,28175,42881,53610,50877,47384,41288,49094,0,0,0,8,34,100,254,681,4622,0,NA,NA,NA,NA,NA,NA,1,7,6,8,10,10,9,8,0,0,0,0,1,0,1,3,NA,NA,NA,NA,NA,NA
"1:160","1:159","2021-04-18",20201,28168,42875,53602,50867,47374,41279,49086,0,0,0,8,34,99,254,680,4619,0,NA,NA,NA,NA,NA,NA,6,6,7,5,6,5,4,6,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"1:161","1:160","2021-04-17",20195,28162,42868,53597,50861,47369,41275,49080,0,0,0,8,34,99,254,679,4619,0,NA,NA,NA,NA,NA,NA,17,25,30,41,28,26,28,26,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
"1:162","1:161","2021-04-16",20178,28137,42838,53556,50833,47343,41247,49054,0,0,0,8,34,99,254,679,4618,0,NA,NA,NA,NA,NA,NA,22,26,24,39,35,28,34,29,0,0,0,0,-1,1,2,4,NA,NA,NA,NA,NA,NA
"1:163","1:162","2021-04-15",20156,28111,42814,53517,50798,47315,41213,49025,0,0,0,8,34,100,253,677,4614,0,NA,NA,NA,NA,NA,NA,24,27,32,50,52,38,31,29,0,0,0,0,1,0,-1,6,NA,NA,NA,NA,NA,NA
"1:164","1:163","2021-04-14",20132,28084,42782,53467,50746,47277,41182,48996,0,0,0,8,34,99,253,678,4608,0,NA,NA,NA,NA,NA,NA,21,25,23,33,37,30,28,23,0,0,0,0,0,0,2,5,NA,NA,NA,NA,NA,NA
"1:165","1:164","2021-04-13",20111,28059,42759,53434,50709,47247,41154,48973,0,0,0,8,34,99,253,676,4603,0,NA,NA,NA,NA,NA,NA,24,20,26,36,31,29,29,29,0,0,0,0,2,1,2,3,NA,NA,NA,NA,NA,NA
"1:166","1:165","2021-04-12",20087,28039,42733,53398,50678,47218,41125,48944,0,0,0,8,34,97,252,674,4600,0,NA,NA,NA,NA,NA,NA,6,4,8,13,14,12,8,4,0,0,0,0,0,0,2,2,NA,NA,NA,NA,NA,NA
"1:167","1:166","2021-04-11",20081,28035,42725,53385,50664,47206,41117,48940,0,0,0,8,34,97,252,672,4598,0,NA,NA,NA,NA,NA,NA,5,6,20,25,18,13,6,7,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"1:168","1:167","2021-04-10",20076,28029,42705,53360,50646,47193,41111,48933,0,0,0,8,34,97,252,672,4598,0,NA,NA,NA,NA,NA,NA,13,22,28,28,22,25,15,18,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"1:169","1:168","2021-04-09",20063,28007,42677,53332,50624,47168,41096,48915,0,0,0,8,34,97,252,672,4598,0,NA,NA,NA,NA,NA,NA,21,18,22,35,31,21,15,15,0,0,0,0,0,0,0,-1,NA,NA,NA,NA,NA,NA
"1:170","1:169","2021-04-08",20042,27989,42655,53297,50593,47147,41081,48900,0,0,0,8,34,97,252,672,4599,0,NA,NA,NA,NA,NA,NA,14,20,41,44,23,27,13,17,0,0,0,0,0,0,-1,3,NA,NA,NA,NA,NA,NA
"1:171","1:170","2021-04-07",20028,27969,42614,53253,50570,47120,41068,48883,0,0,0,8,34,97,252,673,4596,0,NA,NA,NA,NA,NA,NA,11,28,37,41,33,32,35,27,0,0,0,0,1,0,3,3,NA,NA,NA,NA,NA,NA
"1:172","1:171","2021-04-06",20017,27941,42577,53212,50537,47088,41033,48856,0,0,0,8,34,96,252,670,4593,0,NA,NA,NA,NA,NA,NA,6,14,36,25,27,26,18,11,0,0,0,0,0,1,1,3,NA,NA,NA,NA,NA,NA
"1:173","1:172","2021-04-05",20011,27927,42541,53187,50510,47062,41015,48845,0,0,0,8,34,96,251,669,4590,0,NA,NA,NA,NA,NA,NA,-3,2,7,10,4,11,7,6,0,0,0,1,0,0,0,4,NA,NA,NA,NA,NA,NA
"1:174","1:173","2021-04-04",20014,27925,42534,53177,50506,47051,41008,48839,0,0,0,8,33,96,251,669,4586,0,NA,NA,NA,NA,NA,NA,7,7,14,21,0,0,1,1,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA
"1:175","1:174","2021-04-03",20007,27918,42520,53156,50497,47038,41001,48833,0,0,0,8,33,96,251,668,4585,0,NA,NA,NA,NA,NA,NA,14,20,36,29,38,37,25,18,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA
"1:176","1:175","2021-04-02",19993,27898,42484,53127,50459,47001,40976,48815,0,0,0,8,33,96,251,668,4583,0,NA,NA,NA,NA,NA,NA,15,27,12,21,26,16,13,14,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA
"1:177","1:176","2021-04-01",19978,27871,42472,53106,50433,46985,40963,48801,0,0,0,8,33,96,251,668,4580,0,NA,NA,NA,NA,NA,NA,15,15,26,39,32,35,24,25,0,0,1,0,-1,1,5,4,NA,NA,NA,NA,NA,NA
"1:178","1:177","2021-03-31",19963,27856,42446,53067,50401,46950,40939,48776,0,0,0,7,33,97,250,663,4576,0,NA,NA,NA,NA,NA,NA,14,23,32,36,34,29,16,28,0,0,0,0,0,1,2,7,NA,NA,NA,NA,NA,NA
"1:179","1:178","2021-03-30",19949,27833,42414,53031,50367,46921,40923,48748,0,0,0,7,33,97,249,661,4569,0,NA,NA,NA,NA,NA,NA,13,22,35,41,42,38,36,30,0,0,0,0,0,1,3,17,NA,NA,NA,NA,NA,NA
"1:180","1:179","2021-03-28",19936,27811,42379,52990,50325,46883,40887,48718,0,0,0,7,33,97,248,658,4552,0,NA,NA,NA,NA,NA,NA,7,7,14,9,12,7,9,4,0,0,0,0,0,0,0,5,NA,NA,NA,NA,NA,NA
"1:181","1:180","2021-03-27",19929,27804,42365,52981,50313,46876,40878,48714,0,0,0,7,33,97,248,658,4547,0,NA,NA,NA,NA,NA,NA,9,16,15,37,24,28,17,19,0,0,0,0,0,1,0,6,NA,NA,NA,NA,NA,NA
"1:182","1:181","2021-03-26",19920,27788,42350,52944,50289,46848,40861,48695,0,0,0,7,33,97,247,658,4541,0,NA,NA,NA,NA,NA,NA,18,8,28,43,25,31,15,16,0,0,0,0,1,1,2,8,NA,NA,NA,NA,NA,NA
"1:183","1:182","2021-03-25",19902,27780,42322,52901,50264,46817,40846,48679,0,0,0,7,33,96,246,656,4533,0,NA,NA,NA,NA,NA,NA,17,35,40,52,61,44,38,47,0,0,0,0,1,1,3,6,NA,NA,NA,NA,NA,NA
"1:184","1:183","2021-03-24",19885,27745,42282,52849,50203,46773,40808,48632,0,0,0,7,33,95,245,653,4527,0,NA,NA,NA,NA,NA,NA,8,11,23,34,32,33,30,60,0,0,0,0,0,1,1,11,NA,NA,NA,NA,NA,NA
"1:185","1:184","2021-03-23",19877,27734,42259,52815,50171,46740,40778,48572,0,0,0,7,33,95,244,652,4516,0,NA,NA,NA,NA,NA,NA,13,17,29,30,37,34,31,48,0,0,0,0,1,0,0,2,NA,NA,NA,NA,NA,NA
